ID,Název praktiky,Typ extrému,Měřítko aplikace,Lokalita,Zeměpisná šířka,Zeměpisná délka,Relativní nákladnost,Doba implementace cca,Popis praktiky,Přínosy a výhody,Rizika a omezení,Postup implementace,Zdrojová organizace,Kontaktní údaje,Reference a zdroje,Datum přidání,Podpůrné soubory,Oblast dopadu,Typ opatření,Fáze krize,Provenience,Úroveň ověření,Stav,Kanonický klíč
1,Zelené střechy pro zadržování dešťové vody,"Přívalové deště, Vlny veder",Budova,"Plzeň, Česká republika",49.7384,13.3736,Střední (500 tis. - 5 mil. Kč),Střednědobá (1-3 roky),"Zelené střechy pokryté vegetací a substrátem, které efektivně zadržují dešťovou vodu, snižují tepelný ostrov města a poskytují dodatečnou tepelnou izolaci budovy. Systém zahrnuje hydroizolační vrstvu, drenážní systém a speciálně vybranou vegetaci odolnou vůči klimatickým extrémům.","Zadržování 70-90% dešťové vody při běžných srážkách, snížení teploty střechy o 15-25°C v létě, úspora energií na klimatizaci o 10-30%, zvýšení biodiverzity městského prostředí, prodloužení životnosti střešní krytiny o 50-100%, zlepšení kvality ovzduší zachycováním prachových částic.","Vysoké počáteční investiční náklady 1500-4000 Kč/m², nutnost statického posouzení nosné konstrukce, vyšší nároky na údržbu a kontrolu odtoku, riziko zatékání při nedostatečné hydroizolaci, omezená účinnost při extrémních srážkách nad 50mm/hod, nutnost pravidelné výměny vegetace každých 5-10 let.","1. Statické posouzení stávající konstrukce střechy 2. Návrh skladby zelené střechy včetně drenážního systému 3. Realizace hydroizolační vrstvy s kořenovou bariérou 4. Instalace drenážního a závlahového systému 5. Pokládka substrátu o tloušťce 8-20 cm 6. Výsadba vhodné vegetace (rozchodníky, trávy, byliny) 7. Zabudování monitorovacího systému 8. Pravidelná údržba a monitoring výkonu","Magistrát hlavního města Prahy, Odbor životního prostředí","Ing. Jana Nováková, jana.novakova@praha.eu, +420 236 002 111","Svoboda, P. et al. (2023). Zelené střechy v městském prostředí: analýza účinnosti. Journal of Urban Ecology, 15(2):45-62. https://www.praha.eu/zelene-strechy ČSN 73 1901 - Navrhování střech | EPA Green Infrastructure | GSA Green Roofs Guide | NPS Technical Notes | Chicago Green Roof Program",2024-03-15,"technicka_specifikace.pdf, analyza_nakladu.xlsx, monitoring_vysledky.docx, fotodokumentace.zip","Zdraví, Finance a majetek, Budovy, Infrastruktura, Životní prostředí",Technické,Před krizí – prevence,Projekt MITEXTREM (CZ případová studie),Ověřeno v praxi,approved,"zelene strechy pro zadrzovani destove vody|plzen, ceska republika|privalove deste, vlny veder"
2,Městská výsadba stromů pro snížení tepelného ostrova,"Vlny veder, Přívalové deště",Čtvrť,"Praha, Česká republika",50.0755,14.4378,Střední (500 tis. - 5 mil. Kč),Dlouhodobá (3-10 let),"Systematická výsadba listnatých a jehličnatých stromů v městském prostředí pro snížení teploty okolí až o 2-8°C, poskytování stínu budovám a komunikacím, zachycování dešťové vody korunami a zlepšování kvality ovzduší. Doporučená hustota výsadby: minimálně 16% pokrytí území stromy pro dosažení 1°C snížení teploty.","Snížení povrchové teploty o 2-8°C v okolí stromu, zachycení až 70-90% srážek korunami stromů při normálních deštích, roční úspory na klimatizaci 10-25% pro přilehlé budovy, zvýšení hodnoty nemovitostí o 5-15%, zlepšení kvality ovzduší zachycováním PM10 a PM2.5 částic, snížení hluku o 3-5 dB, roční sekvestrace 12-48 kg CO₂ na strom.","Dlouhodobé závazky údržby 20-50 let, počáteční náklady na výsadbu 3000-8000 Kč/strom včetně přípravy stanoviště, možné konflikty s městskou infrastrukturou (vedení, potrubí), nutnost zavlažování prvních 3-5 let, období 5-10 let do dosažení plné účinnosti, riziko poškození bouří nebo chorobami, alergenní pyly u některých druhů.",1. Provedení studie městského tepelného ostrova a identifikace prioritních oblastí 2. Pedologický průzkum a analýza podzemních sítí 3. Výběr klimaticky vhodných druhů odolných vůči stresu 4. Získání povolení podle zákona č. 114/1992 Sb. 5. Výsadba během vegetačního klidu (říjen-březen) 6. Instalace závlahových systémů 7. 3leté intenzivní pěstební péče 8. Monitoring teplotních efektů,"Statutární město Plzeň, Odbor životního prostředí","Ing. Petr Novák, novak.petr@plzen.eu, +420 378 032 421","Novák, P. et al. (2023). Adaptace městské zeleně na klimatickou změnu v Plzni. Zahradnictví, 18(3):45-52. https://www.plzen.eu/zivotni-prostredi/zelena-infrastruktura/ ČSN 83 9021 Péče o dřeviny | USDA Urban Trees | Arbor Day Foundation | EPA Trees & Heat Islands | DOE Energy Landscaping",2024-08-27,"studie_plzen_stromy.pdf, teplotni_mereni_plzen.xlsx, ekonomicka_analyza.docx, mapa_vhodnych_lokalit_plzen.shp","Zdraví, Finance a majetek, Budovy, Infrastruktura, Životní prostředí",Technické,Před krizí – prevence,Projekt MITEXTREM (CZ případová studie),Ověřeno v praxi,approved,"mestska vysadba stromu pro snizeni tepelneho ostrova|praha, ceska republika|vlny veder, privalove deste"
3,Udržitelné městské drenážní systémy (SUDS),"Přívalové deště, Povodně",Čtvrť,"Brno, Česká republika",49.1951,16.6068,Střední (500 tis. - 5 mil. Kč),Střednědobá (1-3 roky),"Komplexní systém zahrnující bioretenci (zasakovací záhony s filtrační vrstvou), infiltrační pánve, travnaté příkopy a propustné dlažby pro udržitelné hospodaření s dešťovou vodou. SUDS napodobují přirozené hydrologické procesy, zadržují vodu na místě dopadu. Kapacita zadržení: 25-50 mm srážek/m² plochy.","Snížení špičkového odtoku o 60-85% při běžných srážkách, zadržení 31-42% celkového objemu dešťové vody, úspory nákladů 10-85% oproti tradičním řešením, zlepšení kvality odtékající vody odstraněním 60-90% suspendovaných látek, snížení teploty okolí o 2-4°C díky evapotranspiraci, podpora biodiverzity, roční úspory na vodném 20-40%.","Variabilní účinnost při intenzivních srážkách nad 50 mm/hod, vyšší nároky na údržbu než tradiční systémy (2-4 kontroly ročně), potřeba dostatečného prostoru 5-10% plochy povodí, možné problémy se zanesením sedimenty, riziko zamrzání infiltračních prvků v zimě, omezená funkčnost při vysoké hladině podzemní vody.",1. Hydrotechnická studie povodí a dimenzování podle ČSN 75 9010 2. Průzkum propustnosti půdy a hladiny podzemní vody 3. Získání povolení vodoprávního úřadu 4. Výkop a příprava území 5. Instalace geotextilie a filtrační vrstvy 6. Osázení vhodnou vegetací 7. Instalace monitorovacích sond 8. Testovací zalití a funkční zkoušky,"Povodí Moravy, s.p., Brno","Ing. Pavel Balvín, balvin@pmo.cz, +420 541 637 111","Šlezingr, M. et al. (2022). SUDS v ČR - příručka pro praxi. ČVUT Praha, 156 s. https://www.pmo.cz/cz/povodne/ochrana-pred-povodnimi/ ČSN EN 752 Venkovní kanalizační systémy | EPA Green Infrastructure | UK SUDS Standards | EPA Stormwater BMPs | USDA Conservation Practices",2024-08-27,"hydraulicky_vypocet.pdf, monitoring_protokol.xlsx, druhy_rostlin.docx, schema_suds.dwg","Finance a majetek, Infrastruktura, Životní prostředí",Technické,Před krizí – prevence,Projekt MITEXTREM (CZ případová studie),Ověřeno v praxi,approved,"udrzitelne mestske drenazni systemy (suds)|brno, ceska republika|privalove deste, povodne"
4,Integrované systémy včasného varování před meteorologickými riziky,"Vícenásobné extrémy, Přívalové deště, Vlny veder, Povodně, Silný vítr",Region,Česká republika (celostátní),49.75,15.0,Vysoké (5-50 mil. Kč),Dlouhodobá (3-10 let),"Komplexní systém včasného varování kombinující automatické meteorologické stanice ČHMÚ po celé ČR, predikční modely ALADIN a AROME, mobilní aplikaci ČHMÚ, jednotný varovný systém (JVVS) s místními sirénami a distribucí přes média. Poskytuje varování s předstihem 12-72 hodin pro běžné jevy, 3-6 hodin pro konvektivní jevy. Hustota stanic: 1 AWS na 300 km² území.","Snížení počtu obětí o 85-90% při správném využití varování, zabránění škodám v rozsahu 460 mil. - 2,7 mld. Kč ročně, návratnost investice 4-36:1, dostupnost informací pro 100% populace díky více komunikačním kanálům, automatizované rozesílání výstrah do 5 minut, geolokační cílení výstrah, integrace s evropským systémem Meteoalarm.","Závislost na přesnosti numerických modelů (spolehlivost 70-85%), možné falešné poplachy (5-15% případů), technické selhání komunikačních sítí během extrémních jevů, nutnost pravidelné aktualizace technologií každých 5-7 let, požadavky na kontinuální školení operátorů (40 hod/rok), nedostatečná reakce veřejnosti (30-50% lidí nejedná).",1. Instalace automatických meteorologických stanic s hustotou 1/400 km² 2. Implementace numerických predikčních modelů 3. Vývoj rozhodovacích algoritmů pro automatické výstrahy 4. Integrace s JVVS 5. Vývoj mobilní aplikace 6. Testování systému čtvrtletními zkouškami 7. Vzdělávací kampaň 8. 24/7 provoz dispečinku,Český hydrometeorologický ústav,"RNDr. Radmila Broža, broza@chmi.cz, +420 244 032 722",ČHMÚ (2023). Zpráva o činnosti systémů včasného varování. https://www.chmi.cz/files/portal/docs/meteo/ov/ Zákon č. 254/2001 Sb. o vodách | WMO Early Warning | ČHMÚ (Czech Met Service) | FEMA Warning Systems | EU Civil Protection,2024-08-27,"system_architektura.pdf, varování_protokoly.docx, evaluace_2023.xlsx, mobilni_app_manual.pdf",Finance a majetek,Technické,"Přímo v krizi – krátkodobá reakce, Připravenost systému (IZS)",Projekt MITEXTREM (CZ případová studie),Ověřeno v praxi,approved,"integrovane systemy vcasneho varovani pred meteorologickymi riziky|ceska republika (celostatni)|vicenasobne extremy, privalove deste, vlny veder, povodne, silny vitr"
5,Systémy sběru a využití dešťové vody pro bytové domy,"Sucho, Přívalové deště",Budova,"Ostrava, Česká republika",49.8209,18.2625,Nízké (<500 tis. Kč),Krátkodobá (<1 rok),"Systém pro sběr a skladování dešťové vody ze střech bytových domů v podzemních či nadzemních nádržích pro použití při splachování toalet, mytí podlah, zavlažování zelených ploch. Zahrnuje okapové svody, filtr prvního oplavu, akumulační nádrž 3-8 m³, čerpadlo s tlakovým spínačem. Efektivita sběru 85-95%.","Úspora pitné vody 30-50% domácnosti při využití pro WC, úklid a zalévání, roční úspora 15-25 tis. Kč na poplatcích pro bytový dům s 20 byty, návratnost investice 4-8 let, snížení zátěže kanalizace o 25-40%, nezávislost na výpadcích vodovodní sítě, zlepšení mikroklimatu okolí budovy, kvalitní voda pro rostliny bez chlóru.","Kvalita vody závisí na materiálu střechy a znečištění ovzduší, nutnost pravidelné údržby filtru každé 3 měsíce, omezená kapacita skladování 3-12 týdnů sucha, sezónní nerovnoměrnost (70% srážek duben-říjen), riziko zamrznutí venkovních rozvodů, možný zápach při dlouhodobém skladování, potřeba záložního zdroje při delším suchu.",1. Výpočet potenciálu sběru podle plochy střechy a srážkových dat 2. Dimenzování nádrže podle spotřeby (40-80 l/os) 3. Výběr vhodné lokality nádrže 4. Instalace filtru prvního oplavu 5. Osazení ponorného čerpadla 6. Propojení s rozvodem pro WC 7. Instalace indikátoru hladiny 8. Testování systému a školení správce,Ostravské vodárny a kanalizace a.s.,"Ing. Martina Krejčí, krejci@ovak.cz, +420 596 696 111","Hlavínek, P. et al. (2022). Hospodaření s dešťovými vodami v městském prostředí. VUT Brno. https://www.ovak.cz/sluzby/destova-voda/ ČSN 75 6760 Vnitřní vodovody | EPA Rainwater Harvesting | DOE Rain Barrels Guide | U Minnesota Rain Gardens | USDA Pond Standards",2024-08-27,"dimenzovaci_vypocty.xlsx, technické_reseni.pdf, nakladove_srovnani.docx, manual_udrzby.pdf","Finance a majetek, Budovy, Infrastruktura, Životní prostředí",Technické,Před krizí – prevence,Projekt MITEXTREM (CZ případová studie),Ověřeno v praxi,approved,"systemy sberu a vyuziti destove vody pro bytove domy|ostrava, ceska republika|sucho, privalove deste"
6,Propustné dlážděné povrchy pro parkování a pěší zóny,"Přívalové deště, Povodně",Čtvrť,"České Budějovice, Česká republika",48.9744,14.4743,Střední (500 tis. - 5 mil. Kč),Krátkodobá (<1 rok),"Použití propustných betonových dlaždic s povrchem propustným pro vodu (koeficient propustnosti >10⁻⁵ m/s) na parkovištích, chodnících a náměstích. Systém zahrnuje propustnou dlažbu, filtrační vrstvu z písku a štěrku (30-50 cm), geotextilii a podloží. Eliminuje povrchový odtok při srážkách do 30 mm/hod.","Snížení povrchového odtoku o 95-98% při běžných deštích (do 25 mm/hod), pomalé uvolňování vody do půdy a podzemních vod, snížení zátěže kanalizace o 60-80%, eliminace kaluží a námraz, snížení teploty povrchu o 2-5°C oproti asfaltu, zachování přirozené infiltrace, dlouhá životnost 25-30 let, možnost recyklace materiálu.","Vyšší počáteční náklady 1,5-2× oproti běžné dlažbě (1200-2500 Kč/m²), riziko zanesení pórů jemnými sedimenty a solí, nutnost specializované údržby pomocí vysávání 2× ročně, omezená nosnost pro těžkou dopravu (max. 40t/náprava), možné problémy s posypovými materiály v zimě, nevhodnost pro svahy >5%.",1. Průzkum geotechnických vlastností podloží a propustnosti 2. Návrh skladby dle ČSN EN 1338 3. Příprava podkladu s kontrolovaným zhutněním 4. Pokládka geotextilie 300g/m² a štěrkové vrstvy 5. Hutnění po vrstvách 6. Pokládka propustných dlaždic na pískové lože 7. Zásyp spár drceným kamenivem 8. Finální zhutnění a kontrolní zkouška,"Město České Budějovice, Odbor dopravy","Ing. Roman Čech, cech@c-budejovice.cz, +420 386 801 234","Bačuvčík, M. et al. (2023). Propustné zpevněné plochy v městském prostředí. Vodohospodářské technickoekonomické informace, 65(2):12-18. ČSN EN 1338 Betonové dlažební prvky | EPA Permeable Pavement | FHWA Porous Pavement | USDA Underground Outlets | Penn State Extension",2024-08-27,"geotechnicky_pruzkum.pdf, detail_skladby.dwg, zkousky_propustnosti.xlsx, udrzba_manual.docx","Finance a majetek, Infrastruktura",Technické,Před krizí – prevence,Projekt MITEXTREM (CZ případová studie),Ověřeno v praxi,approved,"propustne dlazdene povrchy pro parkovani a pesi zony|ceske budejovice, ceska republika|privalove deste, povodne"
7,Cloudburst Management Plan (blue–green corridors),"Přívalové deště, Povodně",Město,"Kodaň, Dánsko",55.6761,12.5683,Vysoké (5-50 mil. Kč),Kontinuální (>10 let),"Celoměstský plán ochrany Kodaně před přívalovými dešti, přijatý v roce 2012 v reakci na extrémní déšť z 2. 7. 2011 (přes 150 mm srážek za necelé 2 hodiny), který způsobil pojištěné škody přes 6 mld. DKK (cca 0,8–1 mld. EUR). Plán rozděluje město do 7 povodí a předpokládá cca 300 dílčích projektů realizovaných po dobu minimálně 20 let (cca 15 projektů ročně) s celkovou investicí 11–13 mld. DKK (cca 1,6 mld. EUR). Základem jsou povrchová modro-zelená opatření: „cloudburst roads“ (ulice profilované jako řízené odtokové koridory), retenční ulice a náměstí, zelené ulice a parky sloužící jako retenční prostory; tam, kde povrchové řešení nestačí, se budují podzemní tunely. Cílovým standardem je, aby při stoletém dešti nestála na ulicích voda výše než 10 cm. Realizaci zajišťuje město Kodaň společně s vodárenskou společností HOFOR; povrchová řešení spolufinancuje město a soukromí vlastníci, trubní část se hradí z vodného (navýšení cca 890 DKK na domácnost ročně).","Ochrana celého města proti stoletému přívalovému dešti (max. 10 cm vody na terénu) a prevence opakování škod typu roku 2011 (přes 6 mld. DKK). Kombinované povrchové řešení vyšlo v analýze města o cca 7 mld. DKK levněji než čistě kanalizační varianta (13 vs. 20 mld. DKK) a navíc vytváří kvalitnější veřejný prostor, zeleň a ochlazení ulic. Přínos mají obyvatelé a vlastníci nemovitostí v záplavou ohrožených částech města, pojišťovny i správci infrastruktury; plán se stal celosvětovým vzorem (převzat mj. New Yorkem).","Extrémně dlouhá realizace (20 a více let) – do dokončení klíčových koridorů zůstává významné reziduální riziko; při dešti nad návrhovou úroveň dojde k zaplavení i tak. Vyžaduje trvalou koordinaci města, vodáren (HOFOR) a soukromých vlastníků; ochranu jednotlivých budov (zpětné klapky, prahy) musí hradit majitelé sami. Náklady se promítají do vodného, což dopadá plošně na domácnosti. Povrchové koridory vyžadují pravidelnou údržbu vpustí, koryt a zeleně a zásahy do dopravního uspořádání ulic. Přenositelnost do ČR omezuje odlišný model financování (v ČR nelze retenci hradit z vodného stejným způsobem) – princip mapování odtokových koridorů a etapizace je ale plně použitelný.","1. Zmapovat odtokové cesty a rozdělit město na povodí (hydraulický model povrchového odtoku). 2. Stanovit návrhový standard ochrany (např. stoletý déšť, max. 10 cm vody na ulici). 3. Pro každé povodí navrhnout kombinaci odtokových ulic, retenčních prostorů a zelených prvků; tunely jen kde povrch nestačí. 4. Porovnat náklady s čistě kanalizační variantou a dohodnout rozdělení financování mezi město, vodárny a vlastníky. 5. Sestavit zásobník projektů (cca 300) a etapizovat na 20+ let podle rizika a synergií s plánovanými rekonstrukcemi. 6. Realizovat prioritní projekty a průběžně je vyhodnocovat po přívalových událostech. 7. Pravidelně udržovat vpusti, koryta a vegetaci a aktualizovat plán podle klimatických scénářů.",City of Copenhagen,,Cloudburst Management Plan 2012 (PDF) | https://international.kk.dk/sites/default/files/2021-09/Cloudburst%20Management%20plan%202010.pdf | C40 Good Practice: Copenhagen Cloudburst Management Plan | https://www.c40.org/case-studies/c40-good-practice-guides-copenhagen-cloudburst-management-plan/ | Climate-ADAPT/AdapteCCa: ekonomika kodaňského plánu | https://adaptecca.es/en/casos-practicos/economics-managing-heavy-rains-and-stormwater-copenhagen-cloudburst-management-plan,,,"Finance a majetek, Infrastruktura, Životní prostředí",Kombinované,Připravenost systému (IZS),Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"cloudburst management plan (blue–green corridors)|kodan, dansko|privalove deste, povodne"
8,Waterplein Benthemplein (vodní náměstí),Přívalové deště,Čtvrť,"Rotterdam, Nizozemsko",51.9244,4.4777,Vysoké (5-50 mil. Kč),Střednědobá (1-3 roky),"První velké „vodní náměstí“ na světě, dokončené v prosinci 2013 v centru Rotterdamu podle návrhu ateliéru De Urbanisten ve spolupráci s městem a vodním svazem Schieland en de Krimpenerwaard. Náměstí tvoří tři zapuštěné betonové nádrže: dvě mělké zachycují vodu z okolních střech a ploch při běžných deštích, třetí hluboká (sportovní hřiště) se plní jen při intenzivních srážkách. Dohromady zadrží až 1,7 milionu litrů (1 700 m³) dešťové vody, kterou po opadnutí deště řízeně odpouští do kanalizace a zasakuje; voda je po náměstí vedena viditelnými nerezovými žlaby. Mimo déšť slouží prostor jako hřiště na basketbal a fotbal, skatepark a amfiteátr pro sousední školy. Realizace trvala cca 2 roky, náklady činily zhruba 4,5 mil. EUR; provoz zajišťuje město Rotterdam s vodním svazem.","Retence až 1 700 m³ vody odlehčuje jednotné kanalizaci a snižuje riziko zaplavení sklepů a ulic v okolní hustě zastavěné čtvrti, kde není místo na klasické poldry. Na rozdíl od podzemní nádrže plní pozemek dvojí funkci – po většinu roku je to intenzivně využívaný sportovní a pobytový prostor pro studenty okolních škol a obyvatele. Projekt viditelně komunikuje hospodaření s dešťovou vodou veřejnosti a stal se celosvětově kopírovaným vzorem víceúčelové retence.","Po každé větší srážce je nutné čištění nádrží a žlabů od sedimentů a odpadků; z hygienických důvodů musí být voda odpuštěna během cca 36 hodin (riziko stojaté vody, kluzkých povrchů a úrazů). Betonové řešení je investičně dražší na m³ retence než zatravněný průleh – hodí se jen tam, kde je nedostatek prostoru a poptávka po veřejném prostoru. Kapacita 1 700 m³ chrání okolní bloky, nikoli celé povodí; při extrémním dešti se náměstí přeplní a voda odtéká po povrchu. V ČR je princip přenositelný (školní dvory, sídlištní vnitrobloky), vyžaduje ale dohodu města a správce kanalizace o provozu a úklidu a design odolný vandalismu.","1. Vytipovat zpevněné veřejné prostranství v povodí přetěžované kanalizace (ideálně u školy či sportoviště). 2. Hydraulicky nadimenzovat objem nádrží podle připojených střech a ploch a návrhového deště. 3. Navrhnout výškové řešení pánví a viditelné vedení vody (žlaby, chrliče) spolu s budoucími uživateli (participace škol a mládeže). 4. Dohodnout napojení na kanalizaci/zasakování a rozdělení provozních rolí mezi město a správce sítě. 5. Realizovat stavbu včetně sportovního vybavení a bezpečnostních prvků. 6. Nastavit provozní řád: vyprázdnění do 36 h, čištění vpustí a nádrží po přívalech, zimní režim. 7. Monitorovat funkci při deštích a komunikovat ji veřejnosti.",Gemeente Rotterdam,,De Urbanisten – Watersquare Benthemplein | https://www.urbanisten.nl/work/benthemplein | Gemeente Rotterdam | https://www.rotterdam.nl/benthemplein,,,"Infrastruktura, Obyvatelé a komunita",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"waterplein benthemplein (vodni namesti)|rotterdam, nizozemsko|privalove deste"
9,„Kühle Meile“ Zieglergasse (klima‑ulice),Vlny veder,Čtvrť,"Vídeň, Rakousko",48.2082,16.3738,Vysoké (5-50 mil. Kč),Střednědobá (1-3 roky),"První „klimaticky adaptovaná ulice“ Vídně – přestavba cca 1 km dlouhé Zieglergasse v 7. okrese (Neubau), realizovaná v letech 2019–2020 městem Vídeň (správa komunikací) společně s vedením okresu podle návrhu DnD Landschaftsplanung. Ulice, dříve tepelný hotspot bez zeleně, dostala 24 nových stínících stromů, 4 „chladicí oblouky“ s vodní mlhou, pítka pro lidi i zvířata, světlejší povrchy odrážející sluneční záření, rozšířené chodníky, 150 stojanů na kola a zklidnění dopravy. Náklady se pohybovaly v řádu nižších jednotek milionů EUR (cca 2 mil. EUR). Projekt je součástí vídeňské strategie proti městskému tepelnému ostrovu a stal se vzorem pro desítky dalších „coole Straßen“ po celé Vídni.","Kombinace stínu stromů, mlžících oblouků a světlých povrchů snižuje pocitovou teplotu v uličním profilu o několik °C v horkých dnech (mlha až o cca 6 °C v bezprostředním okolí prvku); pítka a stín snižují tepelný stres zejména u seniorů, dětí a chodců. Přínosem je i zklidnění dopravy a kvalitnější parter pro místní obchody. Jako pilotní projekt poskytl městu ověřené technické detaily (výsadbové jámy, mlžení, povrchy), které Vídeň replikuje v dalších ulicích.","Vodní prvky fungují jen sezónně a vyžadují pravidelný servis (hygiena rozvodů, riziko legionel, zazimování) i spotřebu pitné vody; mladé stromy poskytnou plný stín až po letech a v prvních sezónách vyžadují zálivku. Přestavba znamená úbytek parkovacích míst, což vyvolává odpor části rezidentů a podnikatelů. Náklady na 1 km ulice jsou vysoké (miliony EUR) a efekt je lokální – bez plošné replikace tepelný ostrov města neřeší. V ČR je opatření dobře přenositelné do kompaktních čtvrtí, limitem bývají inženýrské sítě pod chodníky bránící výsadbě stromů.","1. Identifikovat tepelné hotspoty pomocí termálních map a dat o zranitelných obyvatelích. 2. Prověřit polohy inženýrských sítí a možnosti výsadby vzrostlých stromů. 3. Navrhnout kombinaci stínu (stromy, oblouky), vody (mlžení, pítka) a světlých povrchů; projednat s rezidenty úbytek parkování. 4. Realizovat stavbu po úsecích s minimalizací uzavírek. 5. Zajistit zálivku stromů a sezónní provoz vodních prvků (spuštění, dezinfekce, zazimování). 6. Měřit teploty před/po a spokojenost obyvatel. 7. Standardizovat ověřené detaily pro replikaci v dalších ulicích.",Stadt Wien,,Stadt Wien – Kühle Meile Zieglergasse | https://www.wien.gv.at/neubau/zieglergasse | wien.ORF.at – Zieglergasse wird zur „kühlen Meile“ | https://wien.orf.at/v2/news/stories/2975692/ | Stadt Wien – Hitze in Wien | https://www.wien.gv.at/thema/hitze/hitze-in-wien.html,,,Zdraví,Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"„kuhle meile“ zieglergasse (klima‐ulice)|viden, rakousko|vlny veder"
10,Barcelona Superblocks (Superilla),"Vlny veder, Vícenásobné extrémy",Čtvrť,"Barcelona, Španělsko",41.3874,2.1686,Vysoké (5-50 mil. Kč),Dlouhodobá (3-10 let),"Model reorganizace uliční sítě, kdy se skupina cca 3×3 bloků barcelonské šachovnice (Eixample) uzavře pro tranzitní automobilovou dopravu; vnitřní ulice s režimem 10–20 km/h se mění na pobytový prostor se zelení, stromy a mobiliářem, doprava zůstává na obvodu. Pilotní superbloky vznikly v Poblenou (2016), Sant Antoni (2018) a Horta; městský plán počítá až s 503 superbloky na území celého města. Od roku 2022 město koncept rozvíjí formou „zelených os“ – v Eixample byly přestavěny 4 osy (mj. Carrer del Consell de Cent) a 4 náměstí za cca 53 mil. EUR, čímž přibylo přes 30 000 m² pěších ploch se stromy a propustnými povrchy. Program řídí Ajuntament de Barcelona; jednotlivé superbloky vznikají etapově, často nejprve levnými „taktickými“ úpravami (barvy, květináče) a poté definitivní přestavbou.","Podle studie ISGlobal by plné rozvinutí modelu (503 superbloků) předešlo cca 667 předčasným úmrtím ročně (291 díky čistšímu vzduchu, 163 nižšímu hluku, 117 zmírnění tepelného ostrova, 36 vyšší fyzické aktivitě), snížilo NO₂ o 24 % (ze 47 na 36 µg/m³), hluk z dopravy z 54 na 51 dB a prodloužilo střední délku života o téměř 200 dní; ekonomický přínos je odhadován na 1,7 mld. EUR ročně. Stín stromů a odstranění dopravy snižují teplotu vnitřních ulic během veder a vytvářejí pobytový prostor pro rezidenty, děti a seniory.","Tranzitní doprava se zčásti přesouvá na obvodové ulice, kde může zhoršit hluk a emise; bez kvalitního dopravního modelu hrozí kongesce. Atraktivnější prostředí zvyšuje nájmy a ceny bytů (riziko gentrifikace a vytlačení původních obyvatel). Projekt naráží na odpor části řidičů a podnikatelů a je citlivý na politické cykly – po komunálních volbách 2023 město další zelené osy pozastavilo. Ochlazovací efekt závisí na skutečné výsadbě stromů a propustných površích, ne jen na dopravním režimu. V ČR je model přenositelný hlavně do čtvrtí s pravidelnou uliční sítí; vyžaduje robustní participaci a etapizaci.","1. Vybrat čtvrť s hustou uliční sítí a alternativními obvodovými trasami; zpracovat dopravní model. 2. Projednat záměr s rezidenty a podnikateli, vyjasnit zásobování a parkování. 3. Zavést pilotně „taktickou“ úpravu (dopravní režim 10–20 km/h, barvy, mobiliář, květináče) s nízkými náklady. 4. Měřit dopravu, hluk, kvalitu ovzduší a využití prostoru před/po pilotu. 5. Na základě vyhodnocení realizovat definitivní přestavbu se stromy, zelení a propustnými povrchy. 6. Škálovat na další bloky/osy podle priorit (školy, zranitelní obyvatelé, tepelné hotspoty). 7. Průběžně udržovat zeleň a vyhodnocovat zdravotní a dopravní dopady.",Ajuntament de Barcelona,,Ajuntament de Barcelona – Superilles | https://ajuntament.barcelona.cat/superilles/en | ISGlobal – Superblocks model could prevent almost 700 premature deaths every year | https://www.isglobal.org/en/-/el-proyecto-original-de-las-supermanzanas-podria-evitar-cerca-de-700-muertes-prematuras-anuales-en-barcelona,,,"Zdraví, Infrastruktura",Technické,Před krizí – prevence,Zahraniční praxe (převzato ze zdroje),Převzato ze zdroje,approved,"barcelona superblocks (superilla)|barcelona, spanelsko|vlny veder, vicenasobne extremy"
